SampleID,S.Name,Study_group,PigID,Group,Cohort,Gender,Age_days,Age_week,Housing_facility,Housing_facility1,Sampling,sampling1,TimePre_PosPart,pre_post_delivery,plain_mac,mac+tet,mac+cef,mac+gen,mac+sulfa,mac+amp,mac+strep,mac+azthr,mac+chl,plain_Ent,Ent+tet,Ent+nal,Ent+gen,ENT+tylo,Ent+ery,Ent+linco,Ent+len,Ent+nitrof,Ent+pen,Ent+strep,log10 16s,log10tetAcopies/gram,log10ctxmcopies/gram1+1,Raw_ASVcount,RawInput,From_Cutadapt,Dada2filtered,percentage_inputpassedfilter,denoised,merged,percentage of input merged,non-chimeric,percentage of input non-chimeric,Length_filtered_Counts,input_newdada2,filtered_newdada2,denoisedF_newdada2,denoisedR_newdada2,merged_newdada2,nonchim_newdada2,%retained_newdada2,S.Name.DMM,assignment_all_dmm_sow,assignment_all_dmm_sow_rearrange
VV073.A1,VV073,Breeder_sows,292,292.T1,1,F,21,3,Segregated Early Weaning (SEW) barn,First growing,At the time of purchase/entering 1st growing facility,Growing,-47,,6.84,6.64,5.24,6.28,5.42,6.26,0,4.98,4.2,6.35,6.05,4.69,4.28,4.48,4.61,4.74,0,3.38,4.58,0,11.02,6.73,1,27330,34519,31297,29168,93.2,28855,27511,87.9,27332,87.33,27330,34519,31843,31480,31025,29714,29573,0.856716591,VV073,4,1
VV074.A2,VV074,Breeder_sows,296,296.T1,1,F,21,3,Segregated Early Weaning (SEW) barn,First growing,At the time of purchase/entering 1st growing facility,Growing,-47,,6.61,6.32,5.27,6.34,5.54,6.28,0,4.72,4.61,6.84,6.61,5.18,5.46,4.81,5.07,4.98,0,0,4.89,0,10.81,8.06,6.35,91618,130784,122738,115052,93.74,113964,107334,87.45,91624,74.65,91618,130784,121382,119955,119143,108748,97178,0.743041962,VV074,4,1
VV075.A3,VV075,Breeder_sows,389,389.T1,1,F,21,3,Segregated Early Weaning (SEW) barn,First growing,At the time of purchase/entering 1st growing facility,Growing,-47,,6.56,6.2,5.18,6.3,5.52,6.52,0,4.83,4.38,6.15,6.28,4.67,5.27,4.67,4.78,4.78,0,3.38,0,0,10.74,6.47,6.64,97944,148671,138468,130031,93.91,127765,115086,83.11,97949,70.74,97944,148671,138336,135568,133903,118404,105234,0.707831386,VV075,4,1
VV076.A4,VV076,Breeder_sows,391,391.T1,1,F,21,3,Segregated Early Weaning (SEW) barn,First growing,At the time of purchase/entering 1st growing facility,Growing,-47,,6.88,6.65,5.46,0,5.5,6.35,2.2,4.98,4.64,6.54,6.39,4.72,4.95,4.58,4.66,4.59,0,0,4.46,0,10.88,7.48,6.39,105019,162638,151817,141337,93.1,138906,125679,82.78,105029,69.18,105019,162638,149808,146614,143694,126437,111605,0.686217243,VV076,4,1
VV077.A5,VV077,Breeder_sows,363,363.T1,2,F,21,3,Segregated Early Weaning (SEW) barn,First growing,At the time of purchase/entering 1st growing facility,Growing,-47,,7,6.7,5.55,6.83,5.39,6,2.2,5.63,5.47,6.65,6.08,5.14,4.28,5.17,5.11,5.2,0,0,4.74,4.28,10.23,7.14,6.07,98062,143400,135025,126533,93.71,125104,117194,86.79,98069,72.63,98062,143400,132857,130914,129590,118417,103335,0.720606695,VV077,4,1
VV078.A6,VV078,Breeder_sows,366,366.T1,2,,21,3,Segregated Early Weaning (SEW) barn,First growing,At the time of purchase/entering 1st growing facility,Growing,-47,,6.842392147,6.470781077,5.261024834,6.444452138,5.482873584,6.111237459,0,5.297541668,5.177247836,6.187625805,5.09420412,4.783903579,3.982271233,4.783903579,4.546542663,4.505149978,0,4.10720997,4.88536122,0,10.45612959,7.594093394,6.150901414,559,824,774,703,90.83,647,559,72.22,559,72.22,559,824,747,692,675,586,586,0.711165049,VV078,4,1
VV079.A7,VV079,Breeder_sows,369,369.T1,2,F,21,3,Segregated Early Weaning (SEW) barn,First growing,At the time of purchase/entering 1st growing facility,Growing,-47,,6.64,6.28,5.29,6.31,5.08,6.38,0,5.52,5.13,6.59,6.13,5.19,4.11,5.41,5.11,5.19,0,4.11,0,3.98,10.92,6.57,6.61,88095,142823,133061,125232,94.12,123689,114925,86.37,88095,66.21,88095,142823,132462,130380,129393,114296,93785,0.65665194,VV079,4,1
VV080.A8,VV080,Breeder_sows,379,379.T1,2,F,21,3,Segregated Early Weaning (SEW) barn,First growing,At the time of purchase/entering 1st growing facility,Growing,-47,,6.69,5.72,4.68,6.35,4.78,6.78,0,5.62,5.12,6.06,4.7,5.49,3.51,5.55,4.55,5,0,0,4.41,0,10.56,6.79,6.15,70637,85086,79609,73554,92.39,73018,71316,89.58,70637,88.73,70637,85086,78117,76864,76184,74326,73800,0.867357732,VV080,4,1
VV081.A9,VV081,Breeder_sows,292,292.T2,1,F,42,6,Segregated Early Weaning (SEW) barn,First growing,3 weeks after entry ,Growing,-44,,6.4,5.5,5.36,0,5.27,5.27,4.2,4.63,4.52,6.63,6.58,4.71,4.28,4.65,4.3,4.66,0,3.6,0,4.92,11.08,6.85,6.75,115997,177169,166706,155409,93.22,153344,142253,85.33,116008,69.59,115997,177169,163390,160335,159439,141562,122710,0.692615525,VV081,2,2
VV082.A10,VV082,Breeder_sows,296,296.T2,1,F,42,6,Segregated Early Weaning (SEW) barn,First growing,3 weeks after entry ,Growing,-44,,6.5,5.47,0,0,3.81,4.81,0,0,0,6.35,6.27,4.7,0,4.75,3.38,4.81,0,3.38,0,0,11.28,6.34,5.46,96113,144475,134135,125542,93.59,124039,114834,85.61,96115,71.66,96113,144475,133163,131158,129822,116146,101787,0.704530196,VV082,2,2
VV083.A11,VV083,Breeder_sows,389,389.T2,1,F,42,6,Segregated Early Weaning (SEW) barn,First growing,3 weeks after entry ,Growing,-44,,6.44,4.92,5.22,5.4,5.3,5.32,5.21,4.46,4.73,6.5,6.4,4.88,3.81,4.8,4.7,4.74,0,3.2,3.98,0,11.11,6.9,5.79,103357,163031,152932,143650,93.93,141358,127117,83.12,103357,67.58,103357,163031,151061,148166,146660,127285,109346,0.670706798,VV083,2,2
VV084.A12,VV084,Breeder_sows,391,391.T2,1,F,42,6,Segregated Early Weaning (SEW) barn,First growing,3 weeks after entry ,Growing,-44,,6.62,5.57,4.85,5.33,5.29,5.12,5.21,4.39,4.48,6.36,6.19,4.81,4.11,4.16,4.08,4.42,0,0,3.98,4.78,10.97,6.97,5.65,96913,148294,136227,127198,93.37,125413,113392,83.24,96920,71.15,96913,148294,136660,134436,132882,117515,103864,0.700392464,VV084,2,2
VV085.B1,VV085,Breeder_sows,363,363.T2,2,F,42,6,Segregated Early Weaning (SEW) barn,First growing,3 weeks after entry ,Growing,-44,,6.61,5.43,4.28,0,4.46,5.32,3.81,4.11,0,6.36,6.11,5.04,0,0,0,0,0,4.11,3.81,0,10.89,8.4,5.97,74917,118474,111394,104823,94.1,102893,90875,81.58,74923,67.26,74917,118474,110251,107701,106278,91017,80022,0.675439337,VV085,2,2
VV086.B2,VV086,Breeder_sows,366,366.T2,2,F,42,6,Segregated Early Weaning (SEW) barn,First growing,3 weeks after entry ,Growing,-44,,6.65,5.63,4.58,4.55,4.71,5.36,4.2,3.81,4.28,6.14,6.15,5.28,4.46,0,3.51,0,0,3.81,0,4.55,10.79,7.06,1,114944,184222,172635,160197,92.8,157750,144958,83.97,114951,66.59,114944,184222,168940,165705,164434,145388,122224,0.66346039,VV086,2,2
VV087.B3,VV087,Breeder_sows,369,369.T2,2,F,42,6,Segregated Early Weaning (SEW) barn,First growing,3 weeks after entry ,Growing,-44,,6.76,5.71,3.81,0,3.51,3.81,5.35,5.25,4.76,6.64,6.48,5.44,0,5.13,0,5.39,0,4.46,0,0,11.03,7.75,6.38,112180,166438,155605,145055,93.22,143228,132152,84.93,112184,72.1,112180,166438,153127,150644,149113,135061,119029,0.715155193,VV087,2,2
VV088.B4,VV088,Breeder_sows,379,379.T2,2,F,42,6,Segregated Early Weaning (SEW) barn,First growing,3 weeks after entry ,Growing,-44,,6.44,5.56,4.51,4.55,0,5.21,5.53,4.28,5.01,6.55,5.35,4.2,3.81,3.98,3.81,3.81,0,0,0,4.71,10.95,6.15,5.99,102805,161940,152605,143227,93.85,140894,125786,82.43,102813,67.37,102805,161940,150144,147124,145297,125630,108829,0.672032852,VV088,2,2
VV089.B5,VV089,Breeder_sows,292,292.T3,1,F,70,10,Segregated Early Weaning (SEW) barn,First growing,1 day prior to moving to 2nd growing facility,Growing,-40,,6.35,0,0,4.51,5.35,4.76,5.41,4.61,3.51,6.33,6.17,4.66,4.46,3.2,4.18,4.61,0,3.94,4.71,4.28,10.49,5.51,5.71,101066,159394,144670,135313,93.53,133040,118910,82.19,101068,69.86,101066,159394,146935,144025,142099,125048,110846,0.695421409,VV089,3,3
VV090.B6,VV090,Breeder_sows,296,296.T3,1,F,70,10,Segregated Early Weaning (SEW) barn,First growing,1 day prior to moving to 2nd growing facility,Growing,-40,,6.65,3.98,3.81,5.44,5.26,5.22,5.21,4.26,3.94,6.4,6.19,4.72,3.81,3.9,0,4.28,0,0,0,0,10.34,5.38,1,109140,172962,161449,150702,93.34,148166,133557,82.72,109140,67.6,109140,172962,158812,155420,153703,134532,116415,0.673066916,VV090,2,2
VV091.B7,VV091,Breeder_sows,389,389.T3,1,F,70,10,Segregated Early Weaning (SEW) barn,First growing,1 day prior to moving to 2nd growing facility,Growing,-40,,6.57,5.31,5.31,0,0,4.85,4.78,4.16,3.38,6.59,6.23,4.58,0,3.81,3.38,0,0,3.75,3.98,4.11,9.24,5.02,1,95606,159957,150049,139641,93.06,137358,123433,82.26,95612,63.72,95606,159957,147484,144679,142671,123467,100592,0.628869009,VV091,2,2
VV092.B8,VV092,Breeder_sows,391,391.T3,1,F,70,10,Segregated Early Weaning (SEW) barn,First growing,1 day prior to moving to 2nd growing facility,Growing,-40,,6.36,5.14,4.89,4.78,5.38,3.98,5.37,3.86,3.6,6.58,6.14,4.11,3.98,3.2,3.51,0,0,3.9,4.46,3.81,10.31,5.29,5.6,107575,173189,162629,151989,93.46,149498,135343,83.22,107584,66.15,107575,173189,159450,156484,154421,134954,114314,0.660053468,VV092,2,2
VV093.B9,VV093,Breeder_sows,363,363.T3,2,F,70,10,Segregated Early Weaning (SEW) barn,First growing,1 day prior to moving to 2nd growing facility,Growing,-40,,6.66,5.54,0,0,0,5.37,0,4.11,0,6.59,6.09,5.25,0,0,3.81,4.46,0,0,0,0,9.93,5.37,1,95326,169092,157605,146946,93.24,144076,126788,80.45,100381,63.69,100372,169092,155419,151730,149826,127480,106820,0.631727107,VV093,2,2
VV094.B10,VV094,Breeder_sows,366,366.T3,2,F,70,10,Segregated Early Weaning (SEW) barn,First growing,1 day prior to moving to 2nd growing facility,Growing,-40,,6.59,4.94,4.35,4.46,0,4.71,4.58,3.98,0,6.49,5.76,4.89,4.11,0,4.51,3.81,0,0,0,4.65,10.32,5.49,1,95657,156873,146894,137550,93.64,135407,121675,82.83,95328,64.9,95326,156873,145344,142699,140553,121671,102092,0.650793954,VV094,2,2
VV095.B11,VV095,Breeder_sows,369,369.T3,2,F,70,10,Segregated Early Weaning (SEW) barn,First growing,1 day prior to moving to 2nd growing facility,Growing,-40,,6.63,4.46,3.98,0,4.28,5.57,5.41,0,3.81,6.5,6.39,5.45,3.51,0,0,4.62,0,0,3.81,4.46,10.07,5.6,5.47,94415,156481,146279,136357,93.22,133715,119392,81.62,95665,65.4,95657,156481,144048,140845,139258,120193,101094,0.646046485,VV095,2,2
VV096.B12,VV096,Breeder_sows,379,379.T3,2,F,70,10,Segregated Early Weaning (SEW) barn,First growing,1 day prior to moving to 2nd growing facility,Growing,-40,,6.61,5.48,4.51,0,4.78,5.28,5.42,0,0,6.35,5,3.81,0,4.46,0,4.11,0,4.11,0,3.81,9.97,5.34,1,,152090,142733,133429,93.48,131310,117949,82.64,94417,66.15,94415,152090,140438,137908,136319,118956,100683,0.661996186,VV096,2,2
VV097.C1,VV097,Breeder_sows,292,292.T4,1,F,84,12,Gestation barn,Second growing,2 weeks after entry to 2nd growing facility,Growing,-38,,6.63,5.43,5.63,4.28,4.71,5.25,4.41,4.2,3.68,6.6,5.98,4.18,4.46,4.57,3.94,4.86,0,3.98,4.51,0,10.97,5.87,5.74,106994,176392,165025,154099,93.38,151507,136352,82.63,107002,64.84,106994,176392,162072,158732,157255,137451,113636,0.644224228,VV097,2,2
VV098.C2,VV098,Breeder_sows,296,296.T4,1,F,84,12,Gestation barn,Second growing,2 weeks after entry to 2nd growing facility,Growing,-38,,6.72,5.47,4.74,4.11,4.68,4.11,4.74,4.05,3.51,6.52,5.09,4.18,3.81,4.43,3.86,4.95,0,3.68,3.81,4.35,9.44,5.81,1,110603,183844,169522,157210,92.74,155084,140511,82.89,110609,65.25,110603,183844,168589,165610,164497,144794,118811,0.646259873,VV098,2,2
VV099.C3,VV099,Breeder_sows,389,389.T4,1,F,84,12,Gestation barn,Second growing,2 weeks after entry to 2nd growing facility,Growing,-38,,6.63,5.58,3.98,0,4.71,3.98,4.58,0,3.2,6.63,5.95,4.11,0,4.86,4.16,4.86,0,0,0,3.81,10.15,5.45,5.91,100491,160077,149133,138578,92.92,136178,122648,82.24,100498,67.39,100491,160077,146641,143651,142034,124522,107313,0.670383628,VV099,3,3
VV100.C4,VV100,Breeder_sows,391,391.T4,1,F,84,12,Gestation barn,Second growing,2 weeks after entry to 2nd growing facility,Growing,-38,,6.73,5.33,4.68,4.65,0,0,0,4.18,0,6.73,5.93,3.94,3.98,3.94,3.94,4.73,0,0,0,3.51,10.33,6.15,1,98740,161010,149379,139617,93.46,137031,122718,82.15,98746,66.1,98740,161010,148167,144768,143257,124468,105955,0.658064716,VV100,3,3
VV101.C5,VV101,Breeder_sows,363,363.T4,2,F,84,12,Gestation barn,Second growing,2 weeks after entry to 2nd growing facility,Growing,-38,,6.84,5.58,4.46,4.62,4.85,4.41,4.11,0,0,6.62,0,0,0,0,0,4.58,0,0,0,3.81,9.71,5.54,1,108462,184089,171466,160097,93.37,157524,142719,83.23,108466,63.26,108462,184089,169050,165757,164302,143024,115655,0.628255898,VV101,2,2
VV102.C6,VV102,Breeder_sows,366,366.T4,2,F,84,12,Gestation barn,Second growing,2 weeks after entry to 2nd growing facility,Growing,-38,,6.73,5.7,0,0,3.51,0,0,3.81,0,6.25,5.7,4.98,4.11,4.46,4.11,4.58,0,0,3.81,4.28,9.96,6.14,1,100309,162843,150280,140511,93.5,137934,124235,82.67,100313,66.75,100309,162843,149833,146531,144963,126377,108224,0.664591048,VV102,2,2
VV103.C7,VV103,Breeder_sows,369,369.T4,2,F,84,12,Gestation barn,Second growing,2 weeks after entry to 2nd growing facility,Growing,-38,,6.59,5.34,3.51,0,4.65,0,4.83,4.11,0,6.56,0,0,3.51,4.62,4.74,0,0,0,0,0,9.93,6.68,1,108044,177228,167064,155871,93.3,153236,138393,82.84,108046,64.67,108044,177228,163647,160322,158682,138501,115165,0.649812671,VV103,2,2
VV104.C8,VV104,Breeder_sows,379,379.T4,2,F,84,12,Gestation barn,Second growing,2 weeks after entry to 2nd growing facility,Growing,-38,,6.56,5.3,0,4.46,0,0,0,4.85,0,6.35,0,4.55,0,4.58,3.81,4.58,0,0,0,0,10.54,5.53,5.94,104335,172025,159644,148758,93.18,146325,131914,82.63,104344,65.36,104335,172025,157458,154360,152464,133020,111684,0.649231216,VV104,2,2
VV105.C9,VV105,Breeder_sows,292,292.T5,1,F,154,22,Gestation barn,Second growing,1 day prior to moving to sows barn,Growing,-28,,6.75,5.6,5.68,4.58,0,3.51,0,0,0,6.17,5.95,4.02,3.98,3.86,4.02,3.86,0,3.81,3.98,4.11,10.47,6.55,6.22,94155,160153,148820,138883,93.32,135921,119659,80.41,94157,63.27,94155,160153,146394,142788,141203,120008,100473,0.62735634,VV105,1,4
VV106.C10,VV106,Breeder_sows,296,296.T5,1,F,154,22,Gestation barn,Second growing,1 day prior to moving to sows barn,Growing,-28,,6.84,5.3,0,4.28,5.47,5.83,5.16,4.41,0,6.44,5.9,3.98,4.35,4.28,4.38,4.25,0,3.86,3.81,0,10.48,5.73,5.52,94996,153110,143572,134491,93.67,131627,115690,80.58,95002,66.17,94996,153110,141767,138323,135844,115266,101487,0.662837176,VV106,3,3
